xflr5 v6.53

Plane name :        RLT_63418
Polar name :        T1-180.0 m/s-VLM2+Fuselage
Freestream speed : 180.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.000     0.000   0.036457   0.003675   0.006362   0.027011   0.000072   0.000014   0.451150  -0.000025  -0.000025  180.0000   -35.4572
   -6.750     0.000   0.061943   0.003679   0.006286   0.026938   0.000072   0.000014   0.436667  -0.000025  -0.000025  180.0000   -19.8340
   -6.500     0.000   0.087433   0.003717   0.006214   0.026905   0.000072   0.000014   0.422200  -0.000024  -0.000025  180.0000   -13.3185
   -6.250     0.000   0.112924   0.003790   0.006143   0.026907   0.000072   0.000014   0.407732  -0.000024  -0.000024  180.0000    -9.7441
   -6.000     0.000   0.138417   0.003899   0.006074   0.026946   0.000072   0.000013   0.393266  -0.000024  -0.000024  180.0000    -7.4860
   -5.750     0.000   0.163911   0.004042   0.006007   0.027023   0.000071   0.000013   0.378801  -0.000024  -0.000024  180.0000    -5.9302
   -5.500     0.000   0.189404   0.004220   0.005946   0.027140   0.000071   0.000013   0.364338  -0.000023  -0.000024  180.0000    -4.7931
   -5.250     0.000   0.214895   0.004434   0.005891   0.027299   0.000071   0.000013   0.349879  -0.000023  -0.000023  180.0000    -3.9258
   -5.000     0.000   0.240384   0.004683   0.005842   0.027499   0.000071   0.000012   0.335425  -0.000023  -0.000023  180.0000    -3.2423
   -4.750     0.000   0.265870   0.004966   0.005812   0.027752   0.000070   0.000012   0.320972  -0.000023  -0.000023  180.0000    -2.6899
   -4.500     0.000   0.291351   0.005285   0.005791   0.028050   0.000070   0.000012   0.306524  -0.000022  -0.000022  180.0000    -2.2341
   -4.250     0.000   0.316827   0.005640   0.005773   0.028386   0.000070   0.000012   0.292085  -0.000022  -0.000022  180.0000    -1.8516
   -4.000     0.000   0.342297   0.006029   0.005762   0.028764   0.000070   0.000012   0.277654  -0.000022  -0.000022  180.0000    -1.5261
   -3.750     0.000   0.367760   0.006453   0.005756   0.029183   0.000069   0.000011   0.263234  -0.000022  -0.000022  180.0000    -1.2456
   -3.500     0.000   0.393214   0.006913   0.005758   0.029644   0.000069   0.000011   0.248824  -0.000021  -0.000021  180.0000    -1.0015
   -3.250     0.000   0.418660   0.007408   0.005768   0.030150   0.000069   0.000011   0.234425  -0.000021  -0.000021  180.0000    -0.7870
   -3.000     0.000   0.444095   0.007937   0.005785   0.030696   0.000069   0.000011   0.220037  -0.000021  -0.000021  180.0000    -0.5972
   -2.750     0.000   0.469520   0.008502   0.005800   0.031276   0.000068   0.000011   0.205666  -0.000021  -0.000021  180.0000    -0.4278
   -2.500     0.000   0.494932   0.009102   0.005822   0.031898   0.000068   0.000010   0.191309  -0.000020  -0.000020  180.0000    -0.2759
   -2.250     0.000   0.520332   0.009737   0.005863   0.032574   0.000068   0.000010   0.176963  -0.000020  -0.000020  180.0000    -0.1389
   -2.000     0.000   0.545718   0.010406   0.005913   0.033293   0.000068   0.000010   0.162633  -0.000020  -0.000020  180.0000    -0.0145
   -1.750     0.000   0.571089   0.011111   0.005977   0.034061   0.000067   0.000010   0.148318  -0.000019  -0.000020  180.0000     0.0987
   -1.500     0.000   0.596445   0.011850   0.006063   0.034886   0.000067   0.000010   0.134018  -0.000019  -0.000019  180.0000     0.2024
   -1.250     0.000   0.621784   0.012623   0.006155   0.035752   0.000067   0.000010   0.119738  -0.000019  -0.000019  180.0000     0.2976
   -1.000     0.000   0.647105   0.013432   0.006255   0.036661   0.000067   0.000009   0.105479  -0.000019  -0.000019  180.0000     0.3853
   -0.750     0.000   0.672408   0.014275   0.006369   0.037618   0.000066   0.000009   0.091240  -0.000018  -0.000018  180.0000     0.4664
   -0.500     0.000   0.697692   0.015152   0.006497   0.038622   0.000066   0.000009   0.077023  -0.000018  -0.000018  180.0000     0.5417
   -0.250     0.000   0.722955   0.016063   0.006619   0.039655   0.000066   0.000009   0.062835  -0.000018  -0.000018  180.0000     0.6117
    0.000     0.000   0.748197   0.017009   0.006731   0.040713   0.000065   0.000009   0.048678  -0.000018  -0.000018  180.0000     0.6770
    0.250     0.000   0.773417   0.017988   0.006839   0.041801   0.000065   0.000009   0.034551  -0.000017  -0.000017  180.0000     0.7380
    0.500     0.000   0.798614   0.019002   0.006964   0.042939   0.000065   0.000008   0.020449  -0.000017  -0.000017  180.0000     0.7952
    0.750     0.000   0.823786   0.020049   0.007098   0.044120   0.000065   0.000008   0.006375  -0.000017  -0.000017  180.0000     0.8489
    1.000     0.000   0.848934   0.021130   0.007234   0.045338   0.000064   0.000008  -0.007667  -0.000016  -0.000017  180.0000     0.8994
    1.250     0.000   0.874055   0.022244   0.007374   0.046591   0.000064   0.000008  -0.021677  -0.000016  -0.000016  180.0000     0.9471
    1.500     0.000   0.899150   0.023392   0.007525   0.047891   0.000064   0.000008  -0.035657  -0.000016  -0.000016  180.0000     0.9920
    1.750     0.000   0.924217   0.024573   0.007690   0.049236   0.000063   0.000008  -0.049605  -0.000016  -0.000016  180.0000     1.0346
    2.000     0.000   0.949256   0.025787   0.007856   0.050616   0.000063   0.000007  -0.063516  -0.000015  -0.000015  180.0000     1.0749
    2.250     0.000   0.974264   0.027033   0.008019   0.052026   0.000063   0.000007  -0.077388  -0.000015  -0.000015  180.0000     1.1132
    2.500     0.000   0.999243   0.028313   0.008184   0.053470   0.000062   0.000007  -0.091223  -0.000015  -0.000015  180.0000     1.1495
    2.750     0.000   1.024190   0.029624   0.008370   0.054968   0.000062   0.000007  -0.105026  -0.000015  -0.000015  180.0000     1.1841
    3.000     0.000   1.049104   0.030969   0.008562   0.056504   0.000062   0.000007  -0.118790  -0.000014  -0.000014  180.0000     1.2171
    3.250     0.000   1.073986   0.032345   0.008752   0.058071   0.000062   0.000007  -0.132511  -0.000014  -0.000014  180.0000     1.2486
    3.500     0.000   1.098833   0.033753   0.008941   0.059667   0.000061   0.000007  -0.146190  -0.000014  -0.000014  180.0000     1.2786
    3.750     0.000   1.123645   0.035193   0.009130   0.061297   0.000061   0.000007  -0.159825  -0.000013  -0.000013  180.0000     1.3073
    4.000     0.000   1.148422   0.036664   0.009320   0.062958   0.000061   0.000006  -0.173414  -0.000013  -0.000013  180.0000     1.3348
    4.250     0.000   1.173161   0.038167   0.009510   0.064650   0.000060   0.000006  -0.186957  -0.000013  -0.000013  180.0000     1.3612
    4.500     0.000   1.197863   0.039700   0.009707   0.066381   0.000060   0.000006  -0.200457  -0.000013  -0.000013  180.0000     1.3865
    4.750     0.000   1.222526   0.041265   0.009920   0.068158   0.000060   0.000006  -0.213914  -0.000012  -0.000012  180.0000     1.4108
    5.000     0.000   1.247150   0.042860   0.010163   0.069997   0.000059   0.000006  -0.227333  -0.000012  -0.000012  180.0000     1.4342
    5.250     0.000   1.271734   0.044485   0.010498   0.071956   0.000059   0.000006  -0.240735  -0.000012  -0.000012  180.0000     1.4566
    5.500     0.000   1.296276   0.046140   0.010899   0.074012   0.000059   0.000006  -0.254108  -0.000012  -0.000012  180.0000     1.4783
    5.750     0.000   1.320776   0.047825   0.011358   0.076157   0.000058   0.000006  -0.267450  -0.000011  -0.000011  180.0000     1.4991
    6.000     0.000   1.345233   0.049540   0.011916   0.078429   0.000058   0.000005  -0.280774  -0.000011  -0.000011  180.0000     1.5192
    6.250     0.000   1.369647   0.051284   0.012581   0.080838   0.000058   0.000005  -0.294082  -0.000011  -0.000011  180.0000     1.5386
    6.500     0.000   1.394016   0.053056   0.013271   0.083301   0.000057   0.000005  -0.307344  -0.000010  -0.000011  180.0000     1.5574
    6.750     0.000   1.418339   0.054858   0.014002   0.085833   0.000057   0.000005  -0.320565  -0.000010  -0.000010  180.0000     1.5755
    7.000     0.000   1.442616   0.056688   0.014824   0.088486   0.000057   0.000005  -0.333761  -0.000010  -0.000010  180.0000     1.5931
    7.250     0.000   1.466846   0.058546   0.015820   0.091339   0.000056   0.000005  -0.346959  -0.000010  -0.000010  180.0000     1.6100
    7.500     0.000   1.491027   0.060432   0.016964   0.094369   0.000056   0.000005  -0.360151  -0.000009  -0.000009  180.0000     1.6265
    7.750     0.000   1.515160   0.062346   0.018213   0.097532   0.000056   0.000005  -0.373320  -0.000009  -0.000009  180.0000     1.6424
    8.000     0.000   1.539243   0.064286   0.019552   0.100812   0.000055   0.000005  -0.386461  -0.000009  -0.000009  180.0000     1.6579
    8.250     0.000   1.563276   0.066254   0.021058   0.104286   0.000055   0.000005  -0.399598  -0.000009  -0.000009  180.0000     1.6729
    8.500     0.000   1.587257   0.068248   0.022854   0.108076   0.000055   0.000005  -0.412774  -0.000008  -0.000008  180.0000     1.6875
    8.750     0.000   1.611186   0.070269   0.024922   0.112165   0.000054   0.000005  -0.425982  -0.000008  -0.000008  180.0000     1.7017
    9.000     0.000   1.635062   0.072315   0.027108   0.116397   0.000054   0.000004  -0.439166  -0.000008  -0.000008  180.0000     1.7155
    9.250     0.000   1.658884   0.074387   0.029489   0.120850   0.000054   0.000004  -0.452353  -0.000008  -0.000008  180.0000     1.7289
    9.500     0.000   1.682651   0.076485   0.032254   0.125713   0.000053   0.000004  -0.465608  -0.000007  -0.000007  180.0000     1.7420


