xflr5 v6.53

Plane name :        RLT_63418
Polar name :        T1-180.0 m/s-VLM2_CRUISE
Freestream speed : 180.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.000     0.000   0.037045   0.003664   0.006363   0.010027  -0.000000   0.000000   0.445102  -0.000000   0.000000  180.0000   -34.3976
   -6.500     0.000   0.088057   0.003700   0.006210   0.009910  -0.000000   0.000000   0.411880  -0.000000   0.000000  180.0000   -12.8635
   -6.000     0.000   0.139078   0.003876   0.006070   0.009946  -0.000000   0.000000   0.378680  -0.000000   0.000000  180.0000    -7.1262
   -5.500     0.000   0.190099   0.004191   0.005942   0.010133  -0.000000   0.000000   0.345482  -0.000000   0.000000  180.0000    -4.4681
   -5.000     0.000   0.241114   0.004648   0.005838   0.010486  -0.000000   0.000000   0.312293  -0.000000   0.000000  180.0000    -2.9347
   -4.500     0.000   0.292115   0.005245   0.005786   0.011031  -0.000000   0.000000   0.279116  -0.000000   0.000000  180.0000    -1.9368
   -4.000     0.000   0.343095   0.005982   0.005757   0.011739  -0.000000   0.000000   0.245968  -0.000000   0.000000  180.0000    -1.2355
   -3.500     0.000   0.394045   0.006860   0.005755   0.012615  -0.000000   0.000000   0.212860  -0.000000   0.000000  180.0000    -0.7157
   -3.000     0.000   0.444958   0.007878   0.005782   0.013660  -0.000000   0.000000   0.179797  -0.000000   0.000000  180.0000    -0.3148
   -2.500     0.000   0.495828   0.009036   0.005817   0.014852  -0.000000   0.000000   0.146796  -0.000000   0.000000  180.0000     0.0037
   -2.000     0.000   0.546645   0.010334   0.005908   0.016242  -0.000000   0.000000   0.113850  -0.000000   0.000000  180.0000     0.2630
   -1.500     0.000   0.597403   0.011770   0.006056   0.017826  -0.000000   0.000000   0.080972  -0.000000   0.000000  180.0000     0.4783
   -1.000     0.000   0.648094   0.013345   0.006248   0.019593  -0.000000   0.000000   0.048175  -0.000000   0.000000  180.0000     0.6598
   -0.500     0.000   0.698711   0.015058   0.006492   0.021550  -0.000000   0.000000   0.015468  -0.000000   0.000000  180.0000     0.8151
    0.000     0.000   0.749245   0.016908   0.006733   0.023640  -0.000000   0.000000  -0.017120  -0.000000   0.000000  180.0000     0.9494
    0.500     0.000   0.799691   0.018893   0.006964   0.025857  -0.000000   0.000000  -0.049580  -0.000000   0.000000  180.0000     1.0668
    1.000     0.000   0.850039   0.021014   0.007235   0.028248  -0.000000   0.000000  -0.081916  -0.000000   0.000000  180.0000     1.1703
    1.500     0.000   0.900284   0.023268   0.007530   0.030798  -0.000000   0.000000  -0.114115  -0.000000   0.000000  180.0000     1.2623
    2.000     0.000   0.950417   0.025654   0.007864   0.033518  -0.000000   0.000000  -0.146169  -0.000000   0.000000  180.0000     1.3446
    2.500     0.000   1.000431   0.028172   0.008190   0.036362  -0.000000   0.000000  -0.178054  -0.000000   0.000000  180.0000     1.4188
    3.000     0.000   1.050319   0.030819   0.008569   0.039388  -0.000000   0.000000  -0.209783  -0.000000   0.000000  180.0000     1.4860
    3.500     0.000   1.100074   0.033595   0.008955   0.042550  -0.000000   0.000000  -0.241332  -0.000000   0.000000  180.0000     1.5472
    4.000     0.000   1.149688   0.036497   0.009335   0.045832  -0.000000   0.000000  -0.272682  -0.000000   0.000000  180.0000     1.6031
    4.500     0.000   1.199154   0.039524   0.009726   0.049250  -0.000000   0.000000  -0.303833  -0.000000   0.000000  180.0000     1.6545
    5.000     0.000   1.248466   0.042673   0.010188   0.052861  -0.000000   0.000000  -0.334798  -0.000000   0.000000  180.0000     1.7019
    5.500     0.000   1.297616   0.045944   0.010922   0.056865  -0.000000   0.000000  -0.365638  -0.000000   0.000000  180.0000     1.7459
    6.000     0.000   1.346597   0.049333   0.011949   0.061282  -0.000000   0.000000  -0.396354  -0.000000   0.000000  180.0000     1.7867
    6.500     0.000   1.395403   0.052839   0.013313   0.066152  -0.000000   0.000000  -0.426954  -0.000000   0.000000  180.0000     1.8247
    7.000     0.000   1.444026   0.056460   0.014877   0.071337  -0.000000   0.000000  -0.457378  -0.000000   0.000000  180.0000     1.8603
    7.500     0.000   1.492460   0.060193   0.017050   0.077242  -0.000000   0.000000  -0.487767  -0.000000   0.000000  180.0000     1.8936
    8.000     0.000   1.540698   0.064035   0.019662   0.083697  -0.000000   0.000000  -0.518053  -0.000000   0.000000  180.0000     1.9250
    8.500     0.000   1.588733   0.067985   0.023034   0.091019  -0.000000   0.000000  -0.548345  -0.000000   0.000000  180.0000     1.9546
    9.000     0.000   1.636559   0.072040   0.027308   0.099348  -0.000000   0.000000  -0.578687  -0.000000   0.000000  180.0000     1.9825
    9.500     0.000   1.684169   0.076197   0.032546   0.108743  -0.000000   0.000000  -0.609094  -0.000000   0.000000  180.0000     2.0090


