alpha	Beta	CL	CDi	CDv	CD	CY	Cl	Cm	Cn	Cni	QInf	XCP
-7	0	0.037045	0.003664	0.006363	0.010027	0	0	0.445102	0	0	180	-34.3976
-6.5	0	0.088057	0.0037	0.00621	0.00991	0	0	0.41188	0	0	180	-12.8635
-6	0	0.139078	0.003876	0.00607	0.009946	0	0	0.37868	0	0	180	-7.1262
-5.5	0	0.190099	0.004191	0.005942	0.010133	0	0	0.345482	0	0	180	-4.4681
-5	0	0.241114	0.004648	0.005838	0.010486	0	0	0.312293	0	0	180	-2.9347
-4.5	0	0.292115	0.005245	0.005786	0.011031	0	0	0.279116	0	0	180	-1.9368
-4	0	0.343095	0.005982	0.005757	0.011739	0	0	0.245968	0	0	180	-1.2355
-3.5	0	0.394045	0.00686	0.005755	0.012615	0	0	0.21286	0	0	180	-0.7157
-3	0	0.444958	0.007878	0.005782	0.01366	0	0	0.179797	0	0	180	-0.3148
-2.5	0	0.495828	0.009036	0.005817	0.014852	0	0	0.146796	0	0	180	0.0037
-2	0	0.546645	0.010334	0.005908	0.016242	0	0	0.11385	0	0	180	0.263
-1.5	0	0.597403	0.01177	0.006056	0.017826	0	0	0.080972	0	0	180	0.4783
-1	0	0.648094	0.013345	0.006248	0.019593	0	0	0.048175	0	0	180	0.6598
-0.5	0	0.698711	0.015058	0.006492	0.02155	0	0	0.015468	0	0	180	0.8151
0	0	0.749245	0.016908	0.006733	0.02364	0	0	-0.01712	0	0	180	0.9494
0.5	0	0.799691	0.018893	0.006964	0.025857	0	0	-0.04958	0	0	180	1.0668
1	0	0.850039	0.021014	0.007235	0.028248	0	0	-0.081916	0	0	180	1.1703
1.5	0	0.900284	0.023268	0.00753	0.030798	0	0	-0.114115	0	0	180	1.2623
2	0	0.950417	0.025654	0.007864	0.033518	0	0	-0.146169	0	0	180	1.3446
2.5	0	1.000431	0.028172	0.00819	0.036362	0	0	-0.178054	0	0	180	1.4188
3	0	1.050319	0.030819	0.008569	0.039388	0	0	-0.209783	0	0	180	1.486
3.5	0	1.100074	0.033595	0.008955	0.04255	0	0	-0.241332	0	0	180	1.5472
4	0	1.149688	0.036497	0.009335	0.045832	0	0	-0.272682	0	0	180	1.6031
4.5	0	1.199154	0.039524	0.009726	0.04925	0	0	-0.303833	0	0	180	1.6545
5	0	1.248466	0.042673	0.010188	0.052861	0	0	-0.334798	0	0	180	1.7019
5.5	0	1.297616	0.045944	0.010922	0.056865	0	0	-0.365638	0	0	180	1.7459
6	0	1.346597	0.049333	0.011949	0.061282	0	0	-0.396354	0	0	180	1.7867
6.5	0	1.395403	0.052839	0.013313	0.066152	0	0	-0.426954	0	0	180	1.8247
7	0	1.444026	0.05646	0.014877	0.071337	0	0	-0.457378	0	0	180	1.8603
7.5	0	1.49246	0.060193	0.01705	0.077242	0	0	-0.487767	0	0	180	1.8936
8	0	1.540698	0.064035	0.019662	0.083697	0	0	-0.518053	0	0	180	1.925
8.5	0	1.588733	0.067985	0.023034	0.091019	0	0	-0.548345	0	0	180	1.9546
9	0	1.636559	0.07204	0.027308	0.099348	0	0	-0.578687	0	0	180	1.9825
9.5	0	1.684169	0.076197	0.032546	0.108743	0	0	-0.609094	0	0	180	2.009
